url,article
https://thehimalayantimes.com/nepal/second-quake-in-a-week-jolts-country-early-saturday-morning,"A 5.3 magnitude (ML) earthquake was felt across various parts of the country this morning, at 5:26 am. This was the second quake in the same week, and was felt by many, especially those living in Bagmati Province. According to National Earthquake Monitoring and Research Centre, the epicenter was traced around Belkotgadi of Nuwakot District in Bagmati Province. The Euro-Mediterranean Seismological Centre shared a detail (though stating that the parametres were yet to be reviewed) mentioning the depth of the quake to be 10 km and ran across 238 km N of Patna, India and 9 km W of Kathmandu, Nepal. Last Sunday, a 6ML shake was felt early around 8am and caused some damage of property in Khotang (epicentre) and surrounding areas. This quake is the fourth to be recorded in the same month of Shrawan (July/August) in Nepal."
https://thehimalayantimes.com/nepal/rural-municipality-chair-26-others-booked-for-graft,"The Commission for the Investigation of Abuse of Authority today filed a charge-sheet against 27 persons, including the chairperson of Likhu Tamakoshi Rural Municipality, Ramechhap, at the Special Court for embezzling around Rs 42.1 million during an electrification programme. Among those sued by the anti-graft body include rural municipality Chairperson Govinda Bahadur Khadka, Chief Administrative Officer Raju Prasad Neupane, accountant Durga Bahadur Dimdong, proprietor of Kathmandu-based Pike Construction Pvt Ltd., and 21 officials of various electrification users' committees. According to the CIAA, rural municipality chairperson Khadka in cahoots with other defendants had procured construction materials and equipment for electrification in the wards 1, 4 and 5 of the local level without inviting tenders. He unilaterally formed electrification users' committee at each ward to serve himself in misusing the state fund. It has also been found that Khadka did not even conduct a technical audit of the electrification. The construction materials were procured from the Pike Construction Pvt Ltd directly in contravention of the existing Public Procurement Act and Rule. As per the law, any public body is required to make procurement through open competition among qualified bidders by inviting tender. CIAA spokesperson Shyam Prasad Bhandari said the anti-graft body had sought maximum punishment against the defendants, along with a fine equivalent to the amount in question under the Prevention of Corruption Act, 2002. A version of this article appears in the print on April 1, 2022, of The Himalayan Times."
https://thehimalayantimes.com/nepal/nea-cut-power-supply-to-international-cricket-stadium,"Power supply to the Gautam Buddha International Cricket Stadium has been cut after it failed to pay electricity tariff dues. The construction works of the stadium have been stagnated for the past five months. Nepal Electricity Authority (NEA) Bharatpur Transmission Centre on Wednesday disrupted power supply to the stadium for not paying bills. According to Engineer at Transmission Centre, Rajendra Poudel, the tariff dues have reached Rs 887,000. The Dhurmus Suntali Foundation that spearheaded the cricket stadium construction works had walked away from their responsibility after facing financial crisis. The Foundation has urged Bharatpur Metropolis to take ownership of the stadium saying the Foundation has yet to clear off the dues over Rs 170 million. The NEA has also cut off power supply to the Mount Everest Brewery as it has yet to pay electricity tariff dues over Rs 3.74 million. Along with this, the NEA has cut off the line of 12 small firms and organization for no regular payment of tariff."
https://thehimalayantimes.com/nepal/bagmati-provincial-govt-splits-ministries,"Bagmati Chief Minister Rajendra Prasad Pandey has split ministries into 14. As per the decision of the provincial Cabinet held a fortnight ago, the provincial government has published a notice regarding the same in Nepal Gazette. Former chief minister Dormani Poudel had governed with seven ministries for 42 months while Astalaxmi Shakya had split Ministry of Social Development into Ministry of Health and increased the number to eight. Pandey's government has split Ministry of Industry, Tourism, Forest and Environment and formed the Ministry of Industry, Commerce and Supplies, Ministry of Culture and Tourism and Ministry of Forest and Environment. Likewise, Ministry of Land Management, Agriculture and Cooperative has been split into Ministry of Agriculture and Livestock, and Ministry of Land Management, Cooperative and Poverty Alleviation. Ministry of Physical Infrastructure has been split into Ministry of Drinking Water, Energy, and Irrigation, Ministry of Labour Employment and Transport and Ministry of Physical Infrastructure. Ministry of Social Development has been split into two adding Ministry of Youth and Sports. The province government has split ministries and made 14 ministries to share power among the parties. The addition of ministries is sure to add financial burden to the province government.A version of this article appears in the print on December 4, 2021 of The Himalayan Times."
https://thehimalayantimes.com/nepal/10-persons-held-with-sandalwood-essential-oil,"Police arrested 10 people with 35 litres of red sandalwood essential oil from Tilganga, Kathmandu Metropolitan City. A special team of Metropolitan Police Crime Division raided a room and took them into custody. The suspects include Hem Kumar Shrestha of Sindhuli, Mangal Singh Lho of Makawanpur, Karsang Lama of Bhaktapur, Ghanashyam Ale Magar and Jeevan Thapa of Khotang, Sudeep Thadrai of Tanahun and Ikram Shrestha, Madan Pode, Anila Charan Shrestha and Anup Kumar Shrestha of Kathmandu. They were arrested in the act of trading in the aromatic oil for Rs 500,000 per litre yesterday. The red sandalwood essential oil was stored in jerry cans inside the room. The oil is mainly used for aromatic therapy, body massage and to cure skin diseases. After police stepped up crackdown on smuggling of red sandalwood logs, racketeers have started smuggling and trading in the form of powder and prayer beads. The oil is distilled from the wood of an entire tree, including stump and roots. It is also used in Ayurvedic medicine for treatment of both somatic and mental disorders, including common cold, bronchitis, fever, urinary tract infections, and inflammation. Red sandalwood is an aromatic tropical hardwood tree endemic to southern India. It does not grow naturally in Nepal. It is listed under Appendix II of Convention on International Trade in Endangered Species of Wild Fauna and Flora, to which Nepal is a party. Thus, Nepal is obliged to outlaw transportation, possession, sale and distribution of the rare wood and its extracts. Meanwhile, the arrestees have been handed over to The Division Forest Office, Kathmandu for further investigation and legal action under the existing Forest Act.A version of this article appears in the print on November 28, 2021, of The Himalayan Times."
https://thehimalayantimes.com/nepal/provincial-hospitals-service-to-be-improved,"Chief Minister of Bagmati Province Asta Laxmi Shakya has urged hospitals under the provincial government to provide effective services. Inaugurating the PCR Lab and Oxygen Plant at Bakullahar Ratnanagar Hospital in eastern Chitwan today, Chief Minister Shakya said that additional means and resources would be provided to the hospital. The province government had provided PCR lab machine and oxygen plant to the hospital. She opined, ""Problem has surfaced on the managerial side due to delay of federal government in handing over the provincial hospital to the province government."" The CM further said that PCR machine and oxygen plant are in operation at hospitals in 13 districts of the province. Health Minister of Bagmati Province Pradeep Kumar Katuwal, Social Development Minister Bijay Subedi, former minister of state for education Sheshnath Adhikari, former minister of Agriculture, Cooperatives and Land Management Dawa Dorjee Lama, and Mayor of Ratnanagar Municipality Narayan Ban among others, were present on the occasion. Medical Superintendent of the hospital Dr Bishwo Bandhu Bagale briefed CM Shakya about the activities of the hospital. The health post established in 1967 has now been upgraded to provincial hospital. Bagale complained that although it had got approval to run a 50-bed hospital, only 43 beds were now in operation at the hospital.A version of this article appears in the print on September 22 2021, of The Himalayan Times."
https://thehimalayantimes.com/nepal/flood-sweeps-away-three-more-houses-in-melamchi,"Flood in Melamchi River triggered by incessant rainfall has swept away three more houses Tuesday night. Local Bhimsen Thapa said that the swollen river swept away three houses belonging to Krishna Bahadur, Bhoj Bahadur and Dipesh Thapa of Melamchi-6. Other houses in the area are also at a risk of being Des. Information Officer at the District Police Office, Sindhupalchowk, Deputy Superintendent of Police, Dakshya Kumar Basnet shared that the three houses were at the risk due to previous floods; people and goods had already been shifted to other places. The flood events after July 31 have swept away at least 111 houses and huts so far. Five people were killed and 20 went missing in several floods that occurred in the district starting June 15."
https://thehimalayantimes.com/nepal/seasonal-fever-patients-on-the-rise-in-dhading-health-facilities,"Patients suffering from seasonal fever have increased in Dhadingbensi-based Dhading Hospital of late. Medical superintendent of the hospital Dr Tribhuvan Chandra Jha said 150 to 200 patients visit the hospital daily. He said patients with COVID-19 like symptoms are being treated in the fever clinic at the hospital. Dr Jha said not all fever is related to COVID. He advised patients to maintain personal hygiene, clean the house surroundings and eat food with fluid. With the change in weather, dengue and scrub typhus patients have increased along with increase in viral fever in Dhading. Krishna Lal Upreti, in-charge of the Emergency Department, said patients with common cold, headache, bodyache, among other symptoms were seen. According to the hospital, around 50 to 55 patients reach the hospital in a day. But around 55 to 60 patients visit the fever clinic every day. Upreti said seasonal patients had increased in the hospital due to weather change and excessive heat. Upreti further said patients with typhoid, jaundice, diarrhoea, and skin disease had increased due to adulterated water in the rainy season. Of the patients, around 15 to 20 per cent are children. The hospital said most of the children were suffering from fever. Health workers said that four to five persons of a family reach the hospital for treatment. The infection can be seen among elderly citizens also. A version of this article appears in the print on August 13 2021, of The Himalayan Times."
https://thehimalayantimes.com/nepal/flood-sweeps-houses-bridges-in-melamchi,"The flooded Melamchi river has swept away scores of houses and bridges in Sindhupalchok on Sunday morning. The red bridge over the river in Chanaute has also been swept away at around 7:45 this morning, informed a local Hasta Pandit. 
  The bridge was the only way connecting Melamchi-7 and 8, Panchpokhari 1 and 2 and many wards of Helambu. With the collapse of the bridge, traffic in the area has been shut. The floods have also washed away a suspension bridge in Gyalthum. Similarly, it also swept away the building housing Melamchi radio station last night. The building was uprooted and swept away at around 12:40 last night, said Radio Melamchi Chair Damber Rasik. It may be noted that the floods triggered by incessant rainfall had swept away houses and land, and converted Helambu, Kiul and Melamchi market into a desert on July 15. The Radio Melamchi building had been submerged in the floodwaters since then but was still standing. The building was abandoned and the radio station was being operated from a different location. Further details about the damage from Saturday's floods are yet to be collected. According to Rajan Adhikari, Superintendent of Police, District Police Office, Sindhupalchowk, Gyalthum Bazaar is also at risk due to rising water levels in the river. The administration has urged to remain vigilant considering the rising water levels in Melamchi inflicting further damage. Earlier, Nima Galgyen Sherpa, chairperson of Helambu Rural Municipality, had urged the people living in the coastal areas of Melamchi river to be vigilant saying that floods in the Nakote river in Helambu could lead to flooding of the Melamchi river."
https://thehimalayantimes.com/nepal/vehicle-tax-payment-system-switches-online-in-bagmati,"Bagmati Province government started online tax payment system for all the vehicles today. Amidst a programme organised at province headquarters, Hetauda, Chief Minister Dormani Poudel launched online tax payment system of the vehicles. He entered the payment details of a service seeker and launched the online system. Addressing the programme, the CM said his government had managed and made the major source of government income safe and secure making tax payment system online. He announced to develop Bagmati Province as a digital province. ""We have developed the online system to make the tax paying system easy and free from middlemen,"" he added. Of the total vehicles plying the roads across the country, 47 per cent of them operate in Bagmati Province. ""More than 1.6 million vehicle owners can pay the tax online,"" said Bagmati Province's Minister of Physical Infrastructure Development Nabin Kumar Singh. Minister Singh claimed that vehicle riders would not have to carry their blue books as they would receive payment details and QR code from the online system. Secretary at the Ministry of Physical Infrastructure Development Sanjiw Parajuli urged the service seekers to enter details of their vehicles and pay the tax online.A version of this article appears in the print on July 24 2021, of The Himalayan Times."
